road_type,lot_ar,contract_yr,contract_mo,contract_day,sgg_cd,bjd_cd,hjd_cd,public_price,jimok_cd,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr
1,199.0,2018,9,13,11620,10100,605,3219000,8,15,160,2,8,8,2019
0,66.0,2020,3,5,11590,10400,201,3477000,8,14,130,2,7,12,2020
2,76.0,2018,1,2,11380,10700,112,5596000,8,15,310,2,4,7,2020
4,467.4,2016,8,23,11680,10500,0,25260000,8,22,210,2,4,3,2020
2,58.6,2016,11,23,11290,13400,909,2960000,8,14,150,2,4,8,2020
1,59.2,2019,8,2,11560,13200,630,2653000,8,14,110,3,7,8,2020
1,961.0,2018,4,10,11650,10400,0,381300,1,44,520,3,8,10,2020
3,624.1,2019,8,6,11710,10600,14,6843000,8,14,330,2,4,5,2020
1,100.1,2019,11,7,11290,13400,909,3443000,8,16,110,2,4,10,2020
1,416.7,2020,12,11,11545,10200,540,2398000,8,13,150,3,3,8,2020
1,56.2,2019,9,20,11140,15600,0,11800000,8,22,210,2,4,8,2020
1,298.3,2020,1,16,11650,10800,0,7777000,8,14,320,2,2,9,2020
1,91.0,2018,1,11,11380,10500,107,2298000,8,13,150,2,5,8,2020
0,33.0,2018,3,9,11620,10100,545,930600,8,15,910,0,0,0,2020
2,60.5,2020,7,9,11140,12500,3,12100000,8,22,230,2,3,6,2020
1,394.0,2016,4,15,11110,18300,906,2548000,8,14,120,3,7,9,2020
0,80.0,2019,5,8,11740,10600,106,2952000,8,14,320,2,4,12,2019
4,386.8,2020,8,7,11200,11800,0,3600000,8,14,210,2,7,1,2020
1,69.0,2019,1,30,11110,18400,905,2636000,8,13,150,3,4,8,2020
1,36.5,2020,12,15,11320,10700,5,3073000,8,33,320,2,4,8,2020
1,658.2,2018,4,10,11560,12800,620,4590000,8,33,160,2,3,9,2020
0,73.0,2018,1,17,11380,11000,0,854700,8,14,910,0,0,0,2020
1,77.0,2019,5,18,11410,11100,2,3400000,8,14,150,3,2,2,2020
1,353.7,2018,4,17,11530,10300,103,3049000,8,14,130,2,7,8,2020
0,188.0,2019,11,15,11215,10900,0,1296000,22,13,930,0,0,0,2020
1,222.0,2019,2,2,11500,11100,111,156400,2,44,610,2,4,8,2020
2,170.0,2020,4,26,11320,10800,1,2380000,28,43,310,2,7,6,2020
1,162.6,2016,4,20,11260,10400,14,3620000,8,16,130,2,3,8,2020
1,938.0,2019,10,17,11110,18200,906,2252000,1,14,120,4,7,8,2020
2,536.6,2016,11,10,11545,10300,580,2918000,8,14,140,3,4,6,2020
1,301.0,2020,5,13,11320,10600,3,321300,1,44,510,2,4,8,2020
1,258.0,2016,5,26,11560,13200,690,3920000,8,14,150,2,7,2,2020
4,60.0,2016,9,8,11380,10700,110,4290000,8,15,140,2,4,2,2020
0,43.0,2018,1,29,11440,10900,0,4140000,27,14,150,3,7,3,2020
4,308.0,2016,6,24,11530,10700,704,4074000,9,33,140,2,7,3,2020
0,56.0,2016,3,21,11140,16500,14,5630000,8,22,160,3,4,8,2020
4,99.0,2019,1,18,11590,10900,219,8157000,8,15,210,2,7,3,2020
1,37.0,2018,3,7,11560,13300,720,2340000,9,33,160,2,7,8,2020
2,50.5,2020,3,27,11140,17100,15,5125000,8,16,310,2,4,6,2020
1,43.6,2016,8,16,11290,10900,903,3814000,8,14,150,2,3,8,2020
4,675.0,2018,4,9,11650,11000,0,904200,1,44,510,2,7,1,2020
1,66.1,2016,11,10,11260,10200,10,2697000,8,14,110,2,4,8,2020
1,166.2,2016,11,22,11380,10900,115,2183000,8,16,150,3,1,0,2017
0,102.0,2018,1,2,11590,10200,206,1122000,8,14,910,0,0,0,2020
1,37.0,2018,2,11,11560,13200,680,3920000,8,14,150,3,4,5,2020
1,59.0,2016,1,5,11290,13500,910,3030000,8,14,130,2,2,9,2020
1,76.0,2020,3,20,11170,11300,506,4544000,8,15,150,2,4,10,2020
1,142.7,2016,4,21,11545,10300,590,2850000,8,16,130,3,3,8,2020
2,70.0,2018,3,21,11215,10700,0,5128000,8,16,110,2,8,6,2020
1,243.3,2016,8,23,11680,10500,0,8600000,8,15,330,2,3,8,2020
0,86.6,2018,5,18,11140,14700,6,9449000,8,22,220,2,4,1,2020
1,90.0,2018,11,24,11440,11400,0,6260000,8,14,160,2,3,10,2020
0,56.0,2020,11,29,11680,11300,0,591600,2,44,510,2,5,12,2020
1,549.0,2016,7,1,11650,10400,0,499700,2,44,510,2,7,8,2020
0,46.0,2018,1,29,11440,10900,0,4140000,1,14,150,3,7,3,2020
0,322.0,2018,6,28,11110,18200,906,1284000,1,11,150,4,4,12,2020
2,47.0,2019,1,31,11260,10500,16,2751000,8,14,150,2,4,6,2020
0,207.0,2016,12,6,11110,18300,906,42300,5,44,730,3,4,12,2020
1,790.0,2020,5,12,11320,10500,1,1264000,1,13,150,2,7,8,2020
2,130.9,2018,10,12,11260,10200,10,5100000,8,16,310,2,7,7,2020
0,145.0,2020,10,29,11290,12500,906,3910000,8,15,230,2,4,12,2020
1,300.0,2018,12,6,11740,10200,102,679600,11,44,530,2,7,8,2020
1,92.5,2018,4,5,11680,10400,0,12000000,8,15,230,2,3,8,2020
1,204.3,2020,10,19,11680,10500,0,8500000,8,14,150,2,2,8,2020
1,58.5,2019,3,26,11140,17100,15,4470000,8,16,110,2,3,10,2020
3,74.7,2019,5,10,11170,11900,508,4510000,8,14,150,3,7,5,2020
4,995.0,2018,1,25,11650,10700,0,20230000,22,15,140,2,4,2,2020
1,212.0,2018,12,26,11110,18300,906,1057000,8,44,950,3,3,9,2020
0,463.0,2019,8,21,11560,13200,670,854700,28,14,910,0,0,0,2020
0,33.0,2016,2,23,11590,10200,204,1821000,8,15,910,0,0,0,2020
1,215.2,2020,3,30,11215,10100,4,2975000,8,15,110,2,8,8,2020
0,191.0,2018,10,31,11500,10900,901,2216000,5,14,150,2,4,12,2020
0,205.0,2018,8,21,11590,10700,216,1046000,2,14,910,0,0,0,2020
1,142.0,2016,6,10,11305,10300,645,1010000,8,44,110,2,1,8,2016
0,267.0,2018,12,31,11500,10900,903,370200,2,43,530,3,7,12,2020
1,89.0,2016,6,30,11560,13200,670,2525000,8,14,110,2,2,9,2020
0,40.0,2019,10,3,11560,13200,680,976800,8,16,910,0,0,0,2020
1,172.6,2020,6,18,11530,10700,703,2433000,8,14,160,2,3,8,2020
1,56.2,2019,8,8,11110,16900,913,2690000,8,13,110,3,4,8,2020
0,205.0,2020,12,6,11170,13400,519,4434000,1,15,150,2,7,12,2020
1,305.3,2020,10,27,11710,10500,105,5725000,8,15,150,2,1,8,2020
4,230.0,2016,10,18,11740,10600,106,262800,5,44,530,3,7,1,2020
1,165.0,2018,2,6,11530,11200,112,1803000,8,14,110,3,3,10,2020
3,242.1,2019,12,16,11305,10300,630,3183000,8,14,330,2,4,4,2020
3,78.1,2020,1,16,11410,10200,0,5950000,8,15,310,2,7,5,2020
2,66.0,2018,12,10,11620,10100,605,3232000,8,15,110,3,4,6,2020
2,39.2,2020,5,29,11590,10300,203,4200000,8,15,330,3,4,6,2020
1,93.0,2019,9,30,11440,12200,0,4856000,8,13,150,2,4,8,2020
1,51.9,2019,9,6,11290,13000,907,4280000,8,14,140,2,3,5,2020
1,364.0,2020,11,23,11560,10300,535,4800000,11,16,210,2,1,9,2020
0,542.0,2019,11,12,11260,10600,19,465100,1,44,510,4,4,12,2020
1,72.7,2019,5,14,11140,15000,7,12060000,8,22,230,2,4,6,2020
1,282.5,2018,2,12,11680,10600,0,16490000,8,22,230,2,3,8,2020
2,47.3,2016,11,27,11560,13200,630,2973000,8,14,130,2,7,7,2018
2,268.8,2019,3,11,11110,13500,910,34800000,8,22,210,2,2,7,2020
1,53.0,2016,11,17,11170,13300,519,2772000,8,15,150,3,4,10,2018
4,208.0,2018,3,9,11410,11100,2,3400000,8,14,150,3,2,2,2020
1,106.0,2019,4,22,11620,10200,745,3355000,8,14,110,2,7,9,2020
2,190.0,2018,3,15,11650,10900,0,560500,1,44,510,2,6,6,2020
1,63.0,2020,5,26,11110,18300,906,2503000,8,11,150,3,7,8,2020
1,192.0,2016,11,16,11320,10500,1,2376000,8,14,310,2,7,5,2020
2,113.6,2018,3,6,11710,11400,0,3574000,8,14,140,2,3,6,2020
4,342.7,2016,6,1,11500,10300,305,5632000,8,15,240,2,4,1,2020
1,961.0,2016,1,27,11650,10400,0,381300,1,44,520,3,8,10,2020
1,40.7,2016,4,27,11230,10200,3,3760000,8,15,150,2,4,2,2020
3,96.0,2019,10,15,11290,13600,911,5499000,8,15,240,2,5,5,2020
1,361.0,2020,7,8,11290,10100,901,2161000,8,11,160,4,7,10,2020
4,547.0,2016,12,5,11500,10700,0,739700,5,43,730,2,4,1,2020
3,163.4,2019,8,6,11470,10300,701,2600000,8,16,110,2,8,4,2020
1,169.6,2020,10,14,11470,10300,702,2251000,8,15,110,3,4,10,2020
2,119.0,2016,11,14,11230,10300,1,4508000,8,15,240,2,3,1,2020
0,170.0,2017,7,20,11500,10800,108,4527000,1,15,210,2,7,1,2020
2,119.0,2020,8,20,11710,10900,28,1012000,1,43,530,2,7,6,2020
4,133.0,2016,6,24,11530,10700,704,4074000,9,33,140,2,7,3,2020
4,60.8,2019,8,1,11170,12800,0,12980000,15,14,210,2,7,3,2020
2,54.9,2018,11,17,11290,11300,904,3949000,8,14,150,2,3,6,2020
1,50.9,2020,4,6,11500,10300,305,2698000,8,14,150,2,5,8,2020
1,67.0,2018,12,21,11290,11100,904,2312000,8,13,110,3,4,10,2020
2,136.0,2019,11,18,11530,10100,101,1402000,28,33,910,2,3,7,2020
4,680.0,2019,5,22,11560,13200,670,4756000,2,14,240,2,7,3,2020
1,52.0,2019,11,7,11290,13400,909,3638000,8,16,110,2,3,10,2020
2,56.9,2016,8,25,11200,10400,104,8316000,8,22,220,2,7,7,2020
1,89.0,2019,10,31,11170,13100,517,5757000,8,13,150,3,4,8,2020
0,64.0,2017,11,21,11290,13800,913,1277000,1,16,910,0,0,0,2020
1,179.0,2019,7,10,11215,10900,0,3075000,8,15,130,2,3,10,2020
2,586.5,2018,6,8,11680,11100,0,4416000,8,14,230,2,3,7,2020
1,69.5,2018,7,5,11305,10300,620,2028000,8,14,110,2,4,10,2020
1,109.2,2016,1,14,11305,10300,620,2246000,8,14,130,2,3,9,2020
2,50.0,2016,4,16,11470,10100,502,2942000,8,15,230,2,5,0,2017
2,46.0,2016,12,15,11410,11800,3,2199000,8,13,110,3,7,6,2020
1,342.0,2020,5,25,11305,10300,620,2371000,8,15,110,2,3,8,2020
1,33.0,2018,5,14,11230,10500,1,3375000,8,14,150,2,4,8,2020
0,235.0,2017,3,17,11290,10100,901,345600,22,11,730,4,4,12,2020
1,71.4,2019,7,9,11200,12200,0,3686000,8,15,110,2,3,10,2020
2,86.4,2018,5,28,11170,12200,510,11100000,8,22,230,2,7,2,2020
1,162.7,2018,7,16,11740,10900,109,3656000,8,14,150,2,2,8,2020
2,56.2,2016,3,24,11290,10800,903,6498000,8,22,210,2,3,6,2020
1,47.3,2020,4,2,11170,11800,507,3900000,8,14,110,2,4,10,2020
0,88.0,2017,8,4,11260,10100,7,3780000,8,14,230,2,4,0,2017
0,307.0,2017,10,11,11110,18400,905,69200,5,44,720,4,4,12,2020
4,149.0,2016,6,24,11530,10700,704,4074000,8,33,140,2,7,3,2020
2,712.0,2019,8,14,11290,10100,901,4526000,8,11,150,3,4,7,2020
