road_type,lot_ar,contract_ym,contract_day,price,key
8m미만,109.0,201611,4,277790000.0,56213879656189810620
25m이상,294.6,202008,29,6400000000.0,44451831077286856130
-,182.0,201607,29,393000000.0,16990375116036822261
8m미만,109.4,202002,20,463260000.0,81789994466485159880
12m미만,156.0,201608,6,180000000.0,7281340896630391051
12m미만,53.0,201910,11,460000000.0,48268378326948743541
12m미만,107.3,201806,19,842840000.0,76885096743320199891
8m미만,56.8,201908,30,1042990000.0,66547800705471737790
8m미만,104.8,201810,5,390000000.0,12576833997843333290
8m미만,102.0,202010,6,520000000.0,2505190775850396800
-,58.0,201606,22,340000000.0,20457603058348007340
-,274.0,202003,25,124800000.0,32237720743417030461
8m미만,320.0,201807,2,582000000.0,17426390468164806630
8m미만,873.0,201605,26,1070000000.0,47258167748527934041
8m미만,46.6,201907,3,480600000.0,31844246534911679111
8m미만,192.0,201610,27,1730000000.0,11569637965219219231
25m이상,232.0,201905,28,8799000000.0,42590087701265036090
-,169.0,201705,24,10000000.0,25602071485994606391
8m미만,77.4,202001,22,395000000.0,61986730383883668620
8m미만,60.0,202006,9,180000000.0,25171304713476987120
8m미만,53.0,201601,19,125000000.0,85609443523961518260
-,60.3,201810,18,1051810000.0,43504406351127454390
8m미만,50.0,202003,2,159000000.0,46562144289654062610
-,53.2,201601,11,429320000.0,89926078269917116871
8m미만,49.6,201807,25,310450000.0,77878918908844402591
-,73.9,202005,28,1760000000.0,14846803452950852451
8m미만,41.0,202003,11,171590000.0,63983285518779617621
8m미만,219.0,201606,14,566530000.0,89937668336221733431
12m미만,136.5,201811,2,3427070000.0,67744010228722090141
12m미만,64.8,201606,2,219460000.0,6984824600158025301
8m미만,155.1,202010,29,2380000000.0,42822186042860440121
12m미만,230.0,201611,18,600000000.0,82696757113100083800
12m미만,73.0,202008,24,490000000.0,44078783881638314101
25m미만,95.0,202004,22,514900000.0,89349250867576062480
25m이상,222.0,201905,21,8330000000.0,8480318275580007211
25m이상,357.0,201610,31,2233660000.0,28161737900946809841
12m미만,53.0,201612,12,102000000.0,1109169336097151001
8m미만,34.0,201907,29,321470000.0,73756250529118509910
8m미만,78.3,202010,20,1570780000.0,65966116572495206760
25m이상,247.9,202002,26,7000000000.0,28041654929632497321
8m미만,42.0,201607,8,162990000.0,38409674310158645440
-,387.0,201906,29,400000000.0,83797980345380313940
25m미만,363.0,201906,11,229050000.0,65655432027894198990
25m미만,258.0,202008,1,4900000000.0,56690721488468428030
8m미만,127.2,201604,30,543000000.0,21533675299060714461
8m미만,51.0,202012,30,676000000.0,88325089679514573030
8m미만,35.7,201904,6,100000000.0,6687731571377259881
25m미만,74.2,201807,21,530000000.0,61075464258240776430
-,185.0,201910,31,512790000.0,76708268208802445970
8m미만,97.9,201806,6,725000000.0,64440795615898210940
25m미만,43.4,201907,17,3022250000.0,45965819457010550911
8m미만,216.2,202012,18,6540000000.0,6286161918553361500
25m이상,645.0,201912,27,6704530000.0,40199884400373342051
8m미만,82.0,201810,15,303900000.0,64900868416764283561
-,63.0,202004,28,130000000.0,12878905070112712080
8m미만,178.8,201605,1,542520000.0,48882115541185762331
25m미만,387.0,202004,13,12440000000.0,24116946115560307210
8m미만,149.0,201605,20,1095000000.0,88154180991020761150
8m미만,195.0,201804,21,330000000.0,18173865095897161730
8m미만,34.4,201609,28,148950000.0,20316462270184095391
25m이상,116.0,202006,23,545000000.0,67731102349067136940
8m미만,159.0,201910,16,362000000.0,62908515253222809911
25m이상,44.0,202011,12,1044650000.0,20607331909089872381
12m미만,81.3,201803,26,1603540000.0,24472780175255482940
12m미만,49.6,202003,12,315300000.0,83857951784197151080
12m미만,67.8,201802,8,1476670000.0,54689298758359112100
8m미만,733.4,201909,30,25855000000.0,77577866663870227380
-,387.0,201911,7,560000000.0,25660468701331271990
8m미만,73.0,201612,26,181930000.0,81550767100308703281
12m미만,63.5,202011,25,2550840000.0,62269064800410305071
8m미만,168.9,201805,30,497000000.0,54297128945428059420
-,56.0,201801,4,279740000.0,14706472101551572261
-,35.0,202012,28,100000000.0,91830273762603424400
-,57.0,201703,2,40000000.0,49950126462774946120
-,128.0,202006,1,359040000.0,30622469328505834811
12m미만,96.0,201602,23,525600000.0,29030820279325968541
12m미만,50.5,202003,27,1030000000.0,30476567041554246290
8m미만,185.0,201606,14,171530000.0,55375378184325965380
-,99.0,201806,12,119800000.0,30519398497469494991
8m미만,245.8,202007,25,7500000000.0,46648873007324141280
8m미만,116.0,201612,27,385000000.0,83892459784695366560
8m미만,72.0,201801,4,209160000.0,80306564068882204271
-,777.0,201608,10,140000000.0,65641056302785224801
12m미만,648.0,201611,1,1200000000.0,52021073677891867010
8m미만,136.0,201802,20,1560000000.0,49905677865742319641
8m미만,92.0,201606,29,490000000.0,22141488705163125841
25m이상,106.0,201901,4,98000000.0,66002070887973582351
25m미만,89.9,201606,14,600000000.0,36547815204767209891
-,99.0,201705,17,517420000.0,72002693544040683361
12m미만,218.6,202007,27,3100000000.0,58603975906777283661
8m미만,34.0,201607,25,150000000.0,5247721372967411160
-,107.0,201910,4,200000000.0,22481304928028592781
12m미만,51.1,201905,9,352200000.0,26219779637000807451
25m이상,65.3,202009,8,752020000.0,68269548806544172190
8m미만,210.0,201606,14,194710000.0,26005497150411960580
8m미만,46.0,201612,27,153000000.0,37605472975412399991
12m미만,78.8,202007,9,3121480000.0,52214676394575754760
8m미만,52.0,201801,9,176280000.0,72619932846807836120
8m미만,52.0,201610,3,130000000.0,4872083519934289330
12m미만,82.6,201905,31,1122200000.0,3068250225373803641
-,42.0,202005,20,112000000.0,14731320656060834351
8m미만,38.0,201912,27,306000000.0,25514912803004666300
-,36.0,201612,6,80000000.0,45816158740128858810
8m미만,173.6,202002,28,3450000000.0,89848368963188473960
8m미만,38.0,201605,26,164790000.0,65955418307300243560
8m미만,185.0,202001,23,1959300000.0,8951131416200330620
8m미만,96.9,202012,14,1000000000.0,44313742833069584791
8m미만,116.0,201611,18,353800000.0,42380561828392509741
-,46.0,201906,10,71420000.0,38173899425630560220
12m미만,471.7,202009,3,2725000000.0,33326156190940696451
12m미만,56.2,201603,24,1000000000.0,31428136315823636170
12m미만,35.7,201904,8,234750000.0,29356119292978092150
25m미만,51.1,202008,28,450120000.0,60309243434422038610
25m미만,98.0,201806,20,1355710000.0,39911602273085160641
25m이상,92.0,201910,8,300230000.0,50926347655730870561
25m미만,43.4,201608,31,2025400000.0,45965819457010550911
-,86.0,201903,15,993540000.0,28917757924456605520
12m미만,48.0,201907,15,192320000.0,19019420778396392860
25m이상,959.0,201812,20,5746000000.0,66469274047896352820
25m미만,362.0,201609,8,15592040000.0,52831080918552224231
8m미만,66.0,201610,17,400000000.0,21620104502911602320
8m미만,77.0,201803,9,229080000.0,90375003125972767820
-,50.0,201708,11,35000000.0,56411444605979852870
8m미만,365.6,202008,18,2431000000.0,76389402958657155400
8m미만,116.5,202004,10,2624000000.0,63093886426432682170
25m이상,191.7,202003,20,1991000000.0,6018602519574341411
-,132.0,201909,11,104680000.0,29158782727175512481
12m미만,130.2,201608,25,780000000.0,72460916078273627521
8m미만,288.1,201607,4,1340000000.0,88238424846240942890
8m미만,84.0,201602,29,256200000.0,25697295774496864330
-,37.0,201704,29,120000000.0,68325631022883924510
8m미만,57.9,201905,14,600000000.0,61337973689438084991
8m미만,33.1,201604,19,150000000.0,45708164956025095011
12m미만,162.0,202007,20,3500000000.0,79253591735210466681
-,33.0,201702,13,120000000.0,17247508653930771210
8m미만,103.6,202002,5,950000000.0,47841106871424407610
8m미만,34.0,201907,5,700000000.0,40189536959118205040
12m미만,116.0,202006,16,1391000000.0,28003898141422333921
8m미만,961.0,201908,26,1160000000.0,41324409911527364651
8m미만,48.0,201608,25,120000000.0,74808573096993566250
-,96.0,201805,9,1102000000.0,181929131844575870
8m미만,59.8,201806,15,361000000.0,6410352597852292680
8m미만,337.0,201902,25,1359440000.0,31633725074798080451
25m미만,57.0,201804,2,493890000.0,63088990515178933721
8m미만,425.1,201607,12,2404000000.0,21496453204217248310
25m미만,344.0,201912,26,4093000000.0,38840007128681056241
25m이상,340.8,201611,24,4886410000.0,17903314916836608041
8m미만,385.4,201606,1,5500000000.0,44165902417580307401
8m미만,113.6,201610,1,270000000.0,9469926514863322110
25m이상,357.0,201907,16,9700000000.0,13524365497176707340
-,237.0,201701,3,571170000.0,58564553980128227030
8m미만,147.9,201611,8,342580000.0,26777292891034255390
-,274.0,201910,31,759490000.0,20317010396791570170
25m이상,342.7,201804,4,2600000000.0,18659539636494415890
-,205.0,202004,1,819300000.0,37600986625434984520
-,60.0,201705,25,300000000.0,3085679608840373750
8m미만,324.7,202010,12,6300000000.0,39513701172326290010
8m미만,63.0,201803,7,200000000.0,74773975165923984910
12m미만,47.0,201901,31,206000000.0,91553876558339813451
25m미만,77.0,201811,29,369000000.0,87426094718750245891
12m미만,79.0,201906,28,1200000000.0,26814214666295492920
12m미만,410.0,202012,2,2480000000.0,60428106532811328840
8m미만,42.0,201605,30,131000000.0,19589709235532150580
12m미만,100.0,201606,3,510000000.0,7621914764775717920
8m미만,123.0,202006,1,315500000.0,71094535530643200261
8m미만,273.0,202011,2,450000000.0,79164156058229232021
-,236.0,201801,12,140000000.0,63841980343845206211
8m미만,550.6,202001,8,15000000000.0,89710817428880510571
-,69.0,201704,5,103500000.0,84210793353814158181
25m미만,291.6,201608,16,3035000000.0,86673514981233987370
25m이상,50.6,201606,29,402860000.0,86644480250891767481
-,42.9,201911,26,160000000.0,4957905506945488981
8m미만,194.0,201607,27,1159620000.0,36084053471277213701
-,79.0,201711,3,276450000.0,90423745630198970921
8m미만,55.0,201806,27,223030000.0,24323782861203775111
8m미만,83.0,202001,13,118010000.0,16015367565501017570
25m미만,294.6,201901,9,2700000000.0,67917221159624063550
-,207.0,201612,6,35000000.0,66843270864785273550
12m미만,544.4,201602,26,5070000000.0,55271072712159594461
8m미만,201.1,201604,16,470000000.0,67453833259177546231
12m미만,51.0,201602,26,490000000.0,843442717901171570
8m미만,40.7,201604,27,90000000.0,39950999195474800911
8m미만,73.0,201808,17,514700000.0,29951720429679756340
-,76.0,201701,10,76580000.0,83673763370341785800
8m미만,47.0,202009,15,155000000.0,43104892355753526501
8m미만,91.0,201801,11,279000000.0,36363243019570867850
12m미만,45.0,201611,2,595810000.0,7136728028369480590
8m미만,243.0,202008,26,440000000.0,58512052871845801010
12m미만,33.0,201909,25,170600000.0,34317284880822359511
8m미만,82.0,202005,22,768290000.0,80379279640470695870
8m미만,194.0,201906,10,762420000.0,32917400138759988240
25m이상,425.0,201909,26,879000000.0,42937682502141744970
8m미만,85.0,201611,22,658000000.0,86143948936814607920
25m이상,120.8,202003,20,8117230000.0,44927973806455938170
8m미만,40.0,201907,18,377400000.0,49326399691265902651
-,97.0,201810,1,270000000.0,84461986022924400751
8m미만,815.0,201811,22,11000000000.0,63610240607957656840
8m미만,78.0,201901,2,280000000.0,81371311165299884910
8m미만,234.0,202007,8,1080000000.0,57175249329910271940
8m미만,132.4,201808,31,3840860000.0,44111734797464174370
-,185.0,201802,5,110000000.0,72816004473588137021
8m미만,238.0,202003,7,850000000.0,21924498127636580510
8m미만,103.8,201608,6,266900000.0,24927674571526440000
-,33.0,201602,23,100000000.0,58405303369902599961
8m미만,196.8,202004,26,890000000.0,79064667247909406481
12m미만,43.0,202010,6,260000000.0,59749576794566398330
-,103.0,201811,14,480000000.0,52085517242488511211
8m미만,68.0,201910,24,1008000000.0,89858543213015401801
8m미만,274.0,202008,6,1491910000.0,43387742247371371131
8m미만,89.0,201801,23,400000000.0,40471342110052573381
25m미만,41.0,201805,22,1050000000.0,57803824746153830651
8m미만,122.3,201802,23,1184000000.0,80636708040013909181
12m미만,63.0,201601,22,170000000.0,18402864116327897260
12m미만,49.0,201803,5,200000000.0,20596094136639857381
12m미만,231.6,202011,12,2423540000.0,73888397554828738860
-,195.0,201911,14,102080000.0,69545761589707015470
-,55.0,201707,7,50000000.0,38589261245580668690
25m이상,198.0,201912,27,2058130000.0,67646733897988104490
8m미만,49.6,201812,17,290000000.0,32609591424711762281
8m미만,152.0,201606,2,350000000.0,86450297343162121011
12m미만,43.0,201905,3,182000000.0,74297375968517508421
8m미만,60.3,201911,7,205000000.0,35611935430513616060
8m미만,46.9,201911,20,172000000.0,4091639118052247901
25m이상,77.4,201902,28,1688880000.0,25737230048662463400
8m미만,190.6,201904,2,4461000000.0,74662441940000204301
8m미만,294.1,202001,28,689000000.0,45176990630005889790
-,43.0,201710,12,50000000.0,59884313671590702190
8m미만,40.0,201802,28,84500000.0,36401211633474492800
8m미만,84.3,201608,4,350000000.0,52950728629967069631
25m미만,323.0,201601,22,1420000000.0,71543566874551046031
-,544.0,201706,22,94500000.0,88353221620285598900
25m미만,315.0,201907,24,6270000000.0,64161543338942881651
8m미만,261.0,202009,15,1184290000.0,50039419550554297670
25m이상,238.3,202001,13,15114000000.0,21393244098693964681
8m미만,89.0,201911,21,578000000.0,58851986040523001000
-,256.0,201601,7,970000000.0,34888647542662669130
25m이상,330.0,202008,25,1900000000.0,28040993557446243070
8m미만,416.9,201904,1,2160000000.0,20013346730885066340
12m미만,58.8,201904,8,386640000.0,80942046796484560211
8m미만,339.6,201805,23,6882840000.0,62604179254280621090
25m이상,66.6,201611,21,666140000.0,44062585717808914110
8m미만,301.2,201803,15,2827000000.0,33264868971710259391
8m미만,269.2,201610,20,2659000000.0,26994832784021634841
25m미만,350.5,201602,2,1900000000.0,38288564676950732310
8m미만,930.0,201907,15,980000000.0,48580298729181985690
-,867.0,201709,15,750000000.0,21480282759335343460
8m미만,228.3,202002,14,6400000000.0,35314455648431684160
25m이상,260.7,202001,20,2240000000.0,72755360703758859501
8m미만,145.0,202002,19,526320000.0,84438387507119292590
25m이상,237.5,202002,25,4981480000.0,63423554014488488980
8m미만,89.0,201910,14,1000000000.0,69087996926479955881
8m미만,222.0,201902,2,40200000.0,21821016292110925611
8m미만,37.0,201802,11,463390000.0,83793437496458604320
8m미만,123.0,201608,25,370000000.0,70177898981525985760
25m이상,166.0,202010,13,1490000000.0,68099421622779528210
25m이상,125.4,201901,30,2464120000.0,25058007455900400771
-,99.0,201609,28,155670000.0,12392607388226938111
8m미만,45.0,201812,28,128930000.0,35632092270490288551
25m미만,55.3,201905,16,560000000.0,4881051977729631901
8m미만,132.2,201805,10,900000000.0,63144283223808607920
8m미만,110.7,201609,2,687000000.0,38288034317385750971
8m미만,67.0,202010,19,215740000.0,18380471980946141411
8m미만,537.0,201603,16,1458000000.0,10534146186389177110
8m미만,91.0,201611,24,400000000.0,42983966316827159711
8m미만,290.0,202009,3,1255000000.0,36619074563563564371
12m미만,43.0,202010,22,185090000.0,18374817065409317270
25m미만,87.0,201803,6,241300000.0,90377497779043285010
8m미만,299.0,202001,10,2305000000.0,73826875047882191800
25m이상,94.0,201912,27,977090000.0,70780294395031058211
25m미만,54.1,201608,31,2524750000.0,60172850873480329981
8m미만,466.0,201909,6,1470000000.0,50224316102844110100
25m미만,165.0,202001,17,6117000000.0,91284232502167211300
8m미만,141.0,201907,5,1706020000.0,69860407143656309360
8m미만,84.0,201611,21,175000000.0,10141117660247869300
-,367.0,201710,11,34870000.0,78423488887673797790
12m미만,46.4,201911,7,220000000.0,48053670132345502841
8m미만,61.5,201902,21,979910000.0,72762200463789069321
8m미만,50.0,201912,27,89000000.0,16078889619764467281
25m이상,269.7,201801,5,4700000000.0,44233800402261438771
12m미만,73.4,201606,11,1092190000.0,558131611298390720
8m미만,75.0,202005,19,1120000000.0,14665754455808926600
12m미만,128.9,201810,18,1246450000.0,83026691313967396081
8m미만,45.0,202009,11,410000000.0,51857652110903475860
12m미만,102.6,201911,7,550000000.0,37513687720033150901
-,188.0,201702,15,341220000.0,78126750733687709831
-,188.0,202010,15,1520920000.0,57910539876422599680
25m미만,165.0,201908,23,6117000000.0,91284232502167211300
12m미만,349.3,201811,10,2680000000.0,17689122383122008791
-,56.0,201806,5,66050000.0,11922987430227130201
8m미만,412.0,201911,22,2138000000.0,32817561712203559911
25m미만,967.0,201801,15,800000000.0,83807784774207842760
8m미만,92.0,202012,30,477020000.0,68615538373453828661
8m미만,46.0,201904,20,110000000.0,56722113518912761941
