road_type,lot_ar,contract_yr,contract_mo,contract_day,sgg_cd,bjd_cd,bun,ji,hjd_cd,public_price,jimok_cd,area,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr,uploaded_mo,uploaded_day,price_per_area
1,109.0,2016,11,4,11380,10900,0191,0029,116,2951000,08,109.0,13,130,03,04,09,2020,01,01,2548532.1
4,294.6,2020,08,29,11620,10200,1568,0005,765,8409000,08,294.6,22,210,02,03,01,2020,01,01,21724372.0
0,182.0,2016,07,29,11380,10300,0478,0006,104,2437000,08,182.0,13,130,03,07,08,2020,01,01,2159340.7
1,109.4,2020,02,20,11320,10800,0616,0024,001,2205000,08,109.4,14,150,02,08,08,2020,01,01,4234552.1
2,156.0,2016,08,6,11305,10200,0028,0036,606,311800,05,156.0,43,730,02,07,00,2017,01,01,1153846.2
2,53.0,2019,10,11,11230,10900,0097,0022,001,2992000,08,53.0,14,150,02,02,06,2020,01,01,8679245.3
2,107.3,2018,06,19,11170,11100,0091,0006,000,5329000,08,107.3,15,330,02,07,06,2020,01,01,7854986.0
1,56.8,2019,08,30,11110,15100,0083,0000,910,7395000,08,56.8,22,230,02,04,10,2020,01,01,18362500.0
1,104.8,2018,10,5,11530,10700,0403,0161,703,5520000,08,104.8,15,210,02,04,02,2020,01,01,3721374.0
1,102.0,2020,10,6,11290,13300,0550,0018,908,1788000,08,102.0,14,110,03,07,10,2020,01,01,5098039.2
0,58.0,2016,06,22,11590,10900,0356,0088,220,6000000,08,58.0,16,140,02,04,05,2020,01,01,5862069.0
0,274.0,2020,03,25,11680,11100,0044,0006,000,567600,01,274.0,44,510,02,05,12,2020,01,01,455474.5
1,320.0,2018,07,2,11260,10500,0043,0000,016,1560000,02,320.0,44,160,02,04,08,2020,01,01,1818750.0
1,873.0,2016,05,26,11740,10500,0172,0002,105,965200,01,873.0,44,510,02,07,08,2020,01,01,1225658.6
1,46.6,2019,07,3,11560,12100,0016,0039,605,3763000,08,46.6,16,160,02,07,10,2020,01,01,10313304.7
1,192.0,2016,10,27,11530,10800,0076,0002,800,5348000,08,192.0,22,220,02,07,08,2020,01,01,9010416.7
4,232.0,2019,05,28,11680,10800,0211,0017,000,14150000,08,232.0,22,230,02,08,01,2020,01,01,37926724.1
0,169.0,2017,05,24,11110,18300,0013,0000,906,41700,01,169.0,44,730,05,07,12,2020,01,01,59171.6
1,77.4,2020,01,22,11170,10100,0143,0045,501,5232000,08,77.4,14,110,03,04,08,2020,01,01,5103359.2
1,60.0,2020,06,9,11260,10100,0527,0220,007,2254000,28,60.0,14,110,03,04,11,2020,01,01,3000000.0
1,53.0,2016,01,19,11110,18300,0202,0006,906,2656000,08,53.0,14,130,02,08,08,2020,01,01,2358490.6
0,60.3,2018,10,18,11140,13600,0032,0005,004,11650000,08,60.3,22,220,02,04,03,2020,01,01,17442951.9
1,50.0,2020,03,2,11260,10600,0537,0018,020,2150000,08,50.0,15,110,02,04,10,2020,01,01,3180000.0
0,53.2,2016,01,11,11140,12900,0032,0009,003,2207000,08,53.2,14,910,00,00,00,2020,01,01,8069924.8
1,49.6,2018,07,25,11560,12900,0005,0002,620,2704000,08,49.6,33,110,02,01,10,2020,01,01,6259072.6
0,73.9,2020,05,28,11140,16600,0085,0002,001,5709000,08,73.9,22,910,00,00,00,2020,01,01,23815967.5
1,41.0,2020,03,11,11380,10100,0359,0026,000,3114000,15,41.0,14,110,02,07,08,2020,01,01,4185122.0
1,219.0,2016,06,14,11470,10100,0170,0028,507,1602000,08,219.0,14,420,02,04,08,2016,01,01,2586895.0
2,136.5,2018,11,2,11140,15500,0005,0019,007,13300000,08,136.5,22,210,02,03,06,2020,01,01,25106739.9
