road_type,lot_ar,contract_yr,contract_mo,contract_day,sgg_cd,bjd_cd,hjd_cd,public_price,jimok_cd,landuse_cd,lot_use_cd,lot_height_cd,lot_shape_cd,lot_road_cd,uploaded_yr,price_per_area
1,109.0,2016,11,4,11380,10900,116,2951000,8,13,130,3,4,9,2020,2548532.1
4,294.6,2020,8,29,11620,10200,765,8409000,8,22,210,2,3,1,2020,21724372.0
0,182.0,2016,7,29,11380,10300,104,2437000,8,13,130,3,7,8,2020,2159340.7
1,109.4,2020,2,20,11320,10800,1,2205000,8,14,150,2,8,8,2020,4234552.1
2,156.0,2016,8,6,11305,10200,606,311800,5,43,730,2,7,0,2017,1153846.2
2,53.0,2019,10,11,11230,10900,1,2992000,8,14,150,2,2,6,2020,8679245.3
2,107.3,2018,6,19,11170,11100,0,5329000,8,15,330,2,7,6,2020,7854986.0
1,56.8,2019,8,30,11110,15100,910,7395000,8,22,230,2,4,10,2020,18362500.0
1,104.8,2018,10,5,11530,10700,703,5520000,8,15,210,2,4,2,2020,3721374.0
1,102.0,2020,10,6,11290,13300,908,1788000,8,14,110,3,7,10,2020,5098039.2
0,58.0,2016,6,22,11590,10900,220,6000000,8,16,140,2,4,5,2020,5862069.0
0,274.0,2020,3,25,11680,11100,0,567600,1,44,510,2,5,12,2020,455474.5
1,320.0,2018,7,2,11260,10500,16,1560000,2,44,160,2,4,8,2020,1818750.0
1,873.0,2016,5,26,11740,10500,105,965200,1,44,510,2,7,8,2020,1225658.6
1,46.6,2019,7,3,11560,12100,605,3763000,8,16,160,2,7,10,2020,10313304.7
1,192.0,2016,10,27,11530,10800,800,5348000,8,22,220,2,7,8,2020,9010416.7
4,232.0,2019,5,28,11680,10800,0,14150000,8,22,230,2,8,1,2020,37926724.1
0,169.0,2017,5,24,11110,18300,906,41700,1,44,730,5,7,12,2020,59171.6
1,77.4,2020,1,22,11170,10100,501,5232000,8,14,110,3,4,8,2020,5103359.2
1,60.0,2020,6,9,11260,10100,7,2254000,28,14,110,3,4,11,2020,3000000.0
1,53.0,2016,1,19,11110,18300,906,2656000,8,14,130,2,8,8,2020,2358490.6
0,60.3,2018,10,18,11140,13600,4,11650000,8,22,220,2,4,3,2020,17442951.9
1,50.0,2020,3,2,11260,10600,20,2150000,8,15,110,2,4,10,2020,3180000.0
0,53.2,2016,1,11,11140,12900,3,2207000,8,14,910,0,0,0,2020,8069924.8
1,49.6,2018,7,25,11560,12900,620,2704000,8,33,110,2,1,10,2020,6259072.6
0,73.9,2020,5,28,11140,16600,1,5709000,8,22,910,0,0,0,2020,23815967.5
1,41.0,2020,3,11,11380,10100,0,3114000,15,14,110,2,7,8,2020,4185122.0
1,219.0,2016,6,14,11470,10100,507,1602000,8,14,420,2,4,8,2016,2586895.0
2,136.5,2018,11,2,11140,15500,7,13300000,8,22,210,2,3,6,2020,25106739.9
2,64.8,2016,6,2,11290,12200,906,3060000,8,14,150,3,4,6,2020,3386728.4
1,155.1,2020,10,29,11680,10100,0,6360000,8,15,110,2,3,8,2020,15344938.7
2,230.0,2016,11,18,11305,10100,534,1757000,8,14,160,3,7,0,2017,2608695.7
2,73.0,2020,8,24,11200,10900,0,3705000,8,14,330,3,7,6,2020,6712328.8
3,95.0,2020,4,22,11290,13600,911,5499000,8,15,240,2,5,5,2020,5420000.0
4,222.0,2019,5,21,11680,10100,0,15030000,8,15,230,2,3,1,2019,37522522.5
4,357.0,2016,10,31,11590,10200,204,7148000,5,15,230,2,7,2,2020,6256750.7
2,53.0,2016,12,12,11410,11100,1,3251000,8,14,330,2,7,6,2020,1924528.3
1,34.0,2019,7,29,11170,13300,0,3890000,8,15,150,3,2,8,2020,9455000.0
1,78.3,2020,10,20,11440,10900,0,4286000,8,16,150,2,7,10,2020,20061047.3
4,247.9,2020,2,26,11140,15100,7,13420000,8,22,210,2,7,3,2020,28237192.4
1,42.0,2016,7,8,11200,11500,0,5424000,8,33,430,2,4,8,2020,3880714.3
0,387.0,2019,6,29,11740,10100,101,164200,5,44,720,3,7,12,2020,1033591.7
3,363.0,2019,6,11,11500,11200,112,1536000,28,44,210,2,4,4,2020,630991.7
3,258.0,2020,8,1,11560,13200,670,3420000,28,14,320,2,1,4,2020,18992248.1
1,127.2,2016,4,30,11560,13200,660,3900000,8,14,150,3,7,2,2020,4268867.9
1,51.0,2020,12,30,11290,13600,911,3497000,8,15,150,2,4,10,2020,13254902.0
1,35.7,2019,4,6,11440,12000,0,1551000,8,14,910,2,3,10,2020,2801120.4
3,74.2,2018,7,21,11230,10400,2,7240000,8,22,230,2,4,12,2020,7142857.1
0,185.0,2019,10,31,11590,10200,204,1244000,8,14,910,0,0,0,2020,2771837.8
1,97.9,2018,6,6,11590,10800,218,3678000,8,14,110,2,3,8,2020,7405515.8
3,43.4,2019,7,17,11140,12200,3,18410000,8,22,220,2,4,4,2020,69637096.8
1,216.2,2020,12,18,11440,12200,0,10120000,8,22,230,2,8,8,2020,30249768.7
4,645.0,2019,12,27,11500,10400,401,4805000,9,33,410,2,4,2,2020,10394620.2
1,82.0,2018,10,15,11590,10200,205,2681000,8,13,130,4,4,9,2020,3706097.6
0,63.0,2020,4,28,11380,10400,0,775500,8,14,910,0,0,0,2020,2063492.1
1,178.8,2016,5,1,11260,10500,16,2685000,11,15,150,2,2,8,2020,3034228.2
3,387.0,2020,4,13,11590,10200,204,5078000,8,15,330,3,7,4,2020,32144702.8
1,149.0,2016,5,20,11500,10300,309,4189000,5,22,240,2,4,0,2017,7348993.3
1,195.0,2018,4,21,11290,13300,908,1300000,8,44,150,3,4,8,2020,1692307.7
1,34.4,2016,9,28,11110,17000,913,2330000,8,14,110,2,4,0,2017,4329941.9
4,116.0,2020,6,23,11290,13900,914,3146000,8,14,110,2,4,2,2020,4698275.9
1,159.0,2019,10,16,11740,10700,107,774300,8,44,510,2,7,8,2020,2276729.6
4,44.0,2020,11,12,11140,15100,7,16700000,8,22,210,2,3,1,2020,23742045.5
2,81.3,2018,3,26,11215,10500,1,10250000,8,16,310,2,2,2,2020,19723739.2
2,49.6,2020,3,12,11200,11500,0,6962000,8,33,310,2,4,7,2020,6356854.8
2,67.8,2018,2,8,11140,13200,6,13000000,8,22,210,2,4,7,2020,21779793.5
1,733.4,2019,9,30,11680,10800,0,11630000,8,15,230,2,3,9,2020,35253613.3
0,387.0,2019,11,7,11290,13400,909,1267000,8,16,910,0,0,0,2020,1447028.4
